scheme,pivot,data_type,size,time,time_min,time_max,swaps,comparisons,memory_used
QuickSortDoublePivot,double,sorted,5000,0.734901507695516,0.7104711532592773,0.76641845703125,5000,6250000,490000
QuickSortDijkstra,median_of_three_random,sorted,5000,0.0209631125132242,0.0200631618499755,0.0222768783569335,65035,65335,401520
QuickSortLomuto,last,sorted,10000,8.473959366480509,8.075702667236328,8.89329481124878,9999,99999999,839916
QuickSortLomuto,random,sorted,10000,0.0458897749582926,0.038924217224121,0.0504212379455566,11647,248043,558936
QuickSortLomuto,median_of_three,sorted,10000,0.0312966505686442,0.028064489364624,0.0340557098388671,11808,191860,495936
QuickSortLomuto,median_of_three_random,sorted,10000,0.0439834594726562,0.0419032573699951,0.046729564666748,16396,223712,480536
QuickSortHoare,last,sorted,10000,4.165492614110311,4.043562412261963,4.3060383796691895,19998,50044995,1399860
QuickSortHoare,random,sorted,10000,0.037314494450887,0.0345568656921386,0.0406899452209472,17211,213840,1399860
QuickSortHoare,median_of_three,sorted,10000,0.0297795931498209,0.0284593105316162,0.0320789813995361,16665,198309,1399860
QuickSortHoare,median_of_three_random,sorted,10000,0.0495497385660807,0.0494587421417236,0.0496227741241455,29354,213770,1399860
QuickSortDoublePivot,double,sorted,10000,2.9442466100056968,2.911310195922852,2.9973530769348145,10000,25000000,980000
QuickSortDijkstra,median_of_three_random,sorted,10000,0.0475540161132812,0.0433650016784668,0.0510904788970947,145442,146168,799680
QuickSortLomuto,last,sorted,25000,53.00116570790609,51.31128287315369,56.308960914611816,24999,624999999,2099916
QuickSortLomuto,random,sorted,25000,0.0776387055714925,0.0710558891296386,0.0877857208251953,29134,642585,1401708
QuickSortLomuto,median_of_three,sorted,25000,0.0592133998870849,0.0584900379180908,0.0606238842010498,32766,536542,1376172
QuickSortLomuto,median_of_three_random,sorted,25000,0.0921878019968668,0.0895164012908935,0.094184398651123,41090,602349,1201284
QuickSortHoare,last,sorted,25000,25.45863429705302,25.10415029525757,25.79837703704834,49998,312612495,3499860
QuickSortHoare,random,sorted,25000,0.0936159292856852,0.0917856693267822,0.095400333404541,42919,592192,3499860
QuickSortHoare,median_of_three,sorted,25000,0.0782685279846191,0.0764319896697998,0.0798218250274658,41665,528431,3499860
QuickSortHoare,median_of_three_random,sorted,25000,0.1305002371470133,0.1277875900268554,0.1347413063049316,73612,561646,3499860
QuickSortDoublePivot,double,sorted,25000,19.52993456522624,18.05499601364136,22.043073415756226,25000,156250000,2450000
QuickSortDijkstra,median_of_three_random,sorted,25000,0.1270239353179931,0.1237809658050537,0.132803201675415,399946,401723,2001626
QuickSortLomuto,last,random_data,100,0.0001487731933593,0.0001444816589355,0.0001535415649414,329,1076,5544
QuickSortLomuto,random,random_data,100,0.0001735687255859,0.0001523494720458,0.0002069473266601,312,981,5684
QuickSortLomuto,median_of_three,random_data,100,0.0001320044199625,0.0001304149627685,0.0001344680786132,370,1015,4956
QuickSortLomuto,median_of_three_random,random_data,100,0.0005992253621419,0.0005624294281005,0.0006470680236816,380,1019,4788
QuickSortHoare,last,random_data,100,0.0002221266428629,0.0001964569091796,0.0002717971801757,248,1345,13860
QuickSortHoare,random,random_data,100,0.0002431869506835,0.0002386569976806,0.000248908996582,263,1334,13860
QuickSortHoare,median_of_three,random_data,100,0.0002210140228271,0.0002186298370361,0.0002250671386718,418,1513,13860
QuickSortHoare,median_of_three_random,random_data,100,0.0003658135732014,0.000359296798706,0.0003719329833984,363,1392,13860
QuickSortDoublePivot,double,random_data,100,0.0001254876454671,0.0001235008239746,0.0001285076141357,364,660,7448
QuickSortDijkstra,median_of_three_random,random_data,100,0.0002434253692626,0.0002391338348388,0.0002486705780029,640,640,7606
QuickSortLomuto,last,random_data,500,0.0011359055836995,0.0009486675262451,0.0015068054199218,2412,8042,27804
QuickSortLomuto,random,random_data,500,0.0011304219563802,0.00103759765625,0.0012228488922119,2542,7752,28112
QuickSortLomuto,median_of_three,random_data,500,0.0012729167938232,0.0009577274322509,0.0017871856689453,2881,7479,24780
QuickSortLomuto,median_of_three_random,random_data,500,0.0015249252319335,0.0014598369598388,0.0016398429870605,2441,6935,24948
QuickSortHoare,last,random_data,500,0.0012838045756022,0.0012533664703369,0.0013263225555419,1598,8595,69860
QuickSortHoare,random,random_data,500,0.0015646616617838,0.0014793872833251,0.0016167163848876,1595,8551,69860
QuickSortHoare,median_of_three,random_data,500,0.0022091070810953,0.0013198852539062,0.0035021305084228,2241,9383,69860
